EDITION,NAME,TOKEN,ATTRIBUTE:POWER,ATTRIBUTE:ATTACK,ATTRIBUTE:DEFENSE,ATTRIBUTE:SPEED,ATTRIBUTE:INTELLIGENCE,ATTRIBUTE:HEART,ATTRIBUTE:BACKGROUND,ATTRIBUTE:CIRCLE,ATTRIBUTE:ELEMENTAL,ATTRIBUTE:COLOR,ATTRIBUTE:EYES,ATTRIBUTE:SCALES,ATTRIBUTE:CHEST,ATTRIBUTE:SPIKES,ATTRIBUTE:ARMOUR,ATTRIBUTE:HORN,ATTRIBUTE:SCORE,RANKING,MEDIA:ORIGINAL,MEDIA:THUMBNAIL
3817,GNOGONS #3817,XGNOGONS-0a6d4c-0EE9,85,94,97,96,94,97,Hot Pink,Deep Sea,Ether,Seaside,Cerulean,Oceanic,Atlantis,Frost,None,Golden Sunset,412.17,2176,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3817.png,
3818,GNOGONS #3818,XGNOGONS-0a6d4c-0EEA,80,96,94,97,96,97,Jet Black,Forrest,Fire,Seaside,Sky,Oceanic,Steel Scales,Rainbow,Impenetrable,Healer,332.51,5794,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3818.png,
3819,GNOGONS #3819,XGNOGONS-0a6d4c-0EEB,70,94,97,91,94,94,Almond Skin,Bone,Fear,Seaside,Violet,Mountain,Marine,Blades,None,Destroyer,327.38,6139,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3819.png,
3820,GNOGONS #3820,XGNOGONS-0a6d4c-0EEC,91,90,92,90,94,90,Black Charcoal,Aura,Thunder,Destiny,Autumn,Toxic,Atlantis,Sacrifice,None,Super,242.82,9959,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3820.png,
3821,GNOGONS #3821,XGNOGONS-0a6d4c-0EED,94,94,96,90,92,97,Twilight Zone,Plum,Ice,Death,Emerald,Oceanic,Stealthmode,Sacrifice,None,Scythe,278.47,9101,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3821.png,
3822,GNOGONS #3822,XGNOGONS-0a6d4c-0EEE,95,91,95,92,98,94,Hot Pink,Bananas,Ether,Diamond Hands,Offwhite,Mountain,Stealthmode,Photosynthesis,Royal Armor,Healer,370.77,3637,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3822.png,
3823,GNOGONS #3823,XGNOGONS-0a6d4c-0EEF,94,94,90,94,96,97,Hot Pink,Tiffany,Sun,Diamond Hands,Autumn,Dragonguard,Steel Scales,Mist,MEX,Priest,326.91,6163,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3823.png,
3824,GNOGONS #3824,XGNOGONS-0a6d4c-0EF0,85,95,90,97,97,94,Black Charcoal,Aura,Sun,Lunar Landing,Citrus,Lagoon,Atlantis,Volt,None,Prism Frost,298.66,8033,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3824.png,
3825,GNOGONS #3825,XGNOGONS-0a6d4c-0EF1,95,96,96,97,96,90,Black Charcoal,Blush,Alloys,Lockness,Charcoal,Oceanic,Marine,Volt,None,Prism Frost,331.71,5849,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3825.png,
3826,GNOGONS #3826,XGNOGONS-0a6d4c-0EF2,80,97,94,95,96,91,Black Charcoal,Taupe,Alloys,Guardian of Earth,Autumn,Mountain,Mech Suit,Hazard,None,Moonlight Rider,276,9201,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3826.png,
3827,GNOGONS #3827,XGNOGONS-0a6d4c-0EF3,97,99,96,94,97,94,Hot Pink,Bananas,Fire,Seaside,Autumn,Mountain,Steel Scales,Dusk,None,Grim Reaper,369.88,3682,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3827.png,
3828,GNOGONS #3828,XGNOGONS-0a6d4c-0EF4,85,97,94,95,92,99,Fast Furious,Aura,Sun,Gnogons,Citrus,Mountain,Cave,Blades,None,Healer,314.78,6973,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3828.png,
3829,GNOGONS #3829,XGNOGONS-0a6d4c-0EF5,91,95,91,94,96,94,Almond Skin,Cyber,Fire,Lunar Landing,Emerald,Oceanic,Stealthmode,Jira,None,Skeletor,391.62,2835,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3829.png,
3830,GNOGONS #3830,XGNOGONS-0a6d4c-0EF6,75,92,90,95,93,91,Undriven Snow,Taupe,Sun,Gnogons,Cerulean,Toxic,Steel Scales,Mist,None,Wisdom,283.92,8842,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3830.png,
3831,GNOGONS #3831,XGNOGONS-0a6d4c-0EF7,93,91,98,97,97,96,Undriven Snow,Plum,Gnogen,Gnogons,Autumn,Dragonguard,Desert Storm,Eco,Crusader,Super,386.48,3020,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3831.png,
3832,GNOGONS #3832,XGNOGONS-0a6d4c-0EF8,90,94,91,94,93,96,Pure Red,Blush,Sun,Cotton Candy,Citrus,Dragonguard,Cave,Sacrifice,Centurion,Super,283.54,8874,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3832.png,
3833,GNOGONS #3833,XGNOGONS-0a6d4c-0EF9,65,98,93,94,95,95,Pure Red,Aura,Sun,Lunar Landing,Cerulean,Oceanic,Mech Suit,Frost,Seashell,Uniswap Killer,355.97,4373,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3833.png,
3834,GNOGONS #3834,XGNOGONS-0a6d4c-0EFA,70,98,97,93,93,94,Standard Issue,Bone,Sun,Diamond Hands,Gold,Dragonguard,Cave,Icicles,MEX,Shards of Darkness,344.52,5028,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3834.png,
3835,GNOGONS #3835,XGNOGONS-0a6d4c-0EFB,70,94,95,99,97,99,Fast Furious,Forrest,Ice,Diamond Hands,Dragonfruit,Oceanic,Marine,Plasma,Royal Armor,Shards of Darkness,408.2,2283,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3835.png,
3836,GNOGONS #3836,XGNOGONS-0a6d4c-0EFC,93,97,98,94,94,90,Midnight Navy,Bone,Sun,Lockness,Emerald,Oceanic,Steel Scales,Frost,None,Warrior,303.7,7712,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3836.png,
3837,GNOGONS #3837,XGNOGONS-0a6d4c-0EFD,91,91,97,93,94,94,Standard Issue,Taupe,Gnogen,Seaside,Cerulean,Tough,Blizzard,Silver,Centurion,Inferno,287.7,8640,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3837.png,
3838,GNOGONS #3838,XGNOGONS-0a6d4c-0EFE,91,96,97,93,94,94,Hot Pink,Aura,Ice,Death,Offwhite,Lagoon,Cave,Blades,Crusader,Elder,325.44,6281,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3838.png,
3839,GNOGONS #3839,XGNOGONS-0a6d4c-0EFF,97,90,95,97,97,95,Black Charcoal,Beluga,Gnogen,Gnogons,Sky,Toxic,Steel Scales,Icicles,Impenetrable,Post Battle,397.48,2629,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3839.png,
3840,GNOGONS #3840,XGNOGONS-0a6d4c-0F00,85,97,90,92,96,94,Black Charcoal,Plum,Ice,Guardian of Earth,Emerald,Tough,Atlantis,Flightsuit,Blackbox,Healer,315.39,6927,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3840.png,
3841,GNOGONS #3841,XGNOGONS-0a6d4c-0F01,85,92,97,94,92,97,Twilight Zone,Tiffany,Sun,Seaside,Violet,Oceanic,Stealthmode,Fine Wine,Crusader,Wisdom,351.43,4613,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3841.png,
3842,GNOGONS #3842,XGNOGONS-0a6d4c-0F02,75,91,94,93,99,95,Tiffany Sea,Blush,Alloys,Diamond Hands,Sky,Lagoon,Blizzard,Photosynthesis,None,Aviators,327.86,6100,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3842.png,
3843,GNOGONS #3843,XGNOGONS-0a6d4c-0F03,94,96,96,93,90,92,Hot Pink,Bone,Ether,24 Karat,Dragonfruit,Toxic,Desert Storm,Dusk,Blackbox,Iridescent,295.3,8225,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3843.png,
3844,GNOGONS #3844,XGNOGONS-0a6d4c-0F04,70,95,92,97,89,97,Twilight Zone,Bone,Fear,Death,Autumn,Lagoon,Maiar Blue,Flightsuit,Impenetrable,Christmas,888.67,466,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3844.png,
3845,GNOGONS #3845,XGNOGONS-0a6d4c-0F05,80,94,93,92,90,89,Almond Skin,Bananas,Alloys,Death,Violet,Tough,Platinum,Silver,Seashell,Pharoah,347.9,4819,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3845.png,
3846,GNOGONS #3846,XGNOGONS-0a6d4c-0F06,85,99,90,92,96,97,Standard Issue,Matte,Fire,Cotton Candy,Charcoal,Mountain,Marine,Dusk,None,Prism Frost,329.64,5997,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3846.png,
3847,GNOGONS #3847,XGNOGONS-0a6d4c-0F07,93,89,92,91,96,91,Hot Pink,Bananas,Spirit,Rival,Cerulean,Tough,Gold Plated,Photosynthesis,None,Joker,576.36,711,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3847.png,
3848,GNOGONS #3848,XGNOGONS-0a6d4c-0F08,85,91,94,94,90,100,Twilight Zone,Taupe,Water,Lockness,Dragonfruit,Mountain,Plated,Scarab,None,Elder,911.86,423,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3848.png,
3849,GNOGONS #3849,XGNOGONS-0a6d4c-0F09,70,97,96,99,92,94,Black Charcoal,Forrest,Spirit,Kobe,Citrus,Oceanic,Plated,Plasma,Impenetrable,Golden Sunset,505.55,873,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3849.png,
3850,GNOGONS #3850,XGNOGONS-0a6d4c-0F0A,99,94,90,94,91,94,Midnight Navy,Taupe,Sun,Fire Blast,Sky,Dragonguard,Plated,Silver,Royal Armor,Wisdom,372.3,3566,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3850.png,
3851,GNOGONS #3851,XGNOGONS-0a6d4c-0F0B,96,95,89,89,90,95,Midnight Navy,Blush,Water,Guardian of Earth,Offwhite,Lagoon,Marine,Scarab,Rise,Iridescent,302.58,7787,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3851.png,
3852,GNOGONS #3852,XGNOGONS-0a6d4c-0F0C,92,94,89,91,92,95,Fast Furious,Aura,Fear,God of War,Violet,Lagoon,Desert Storm,Photosynthesis,None,Prism Frost,276.45,9181,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3852.png,
3853,GNOGONS #3853,XGNOGONS-0a6d4c-0F0D,92,94,96,96,91,93,Midnight Navy,Beluga,Thunder,Diamond Hands,Sky,Tough,Atlantis,Beauty,None,Uniswap Killer,297.89,8072,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3853.png,
3854,GNOGONS #3854,XGNOGONS-0a6d4c-0F0E,75,93,90,94,98,94,Undriven Snow,Bone,Ether,Cotton Candy,Autumn,Lagoon,Desert Storm,Flightsuit,Blackbox,Elder,374.36,3487,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3854.png,
3855,GNOGONS #3855,XGNOGONS-0a6d4c-0F0F,85,96,95,89,91,94,Fast Furious,Plum,Thunder,Bubble Gum,Dragonfruit,Diamond,Stealthmode,Moss,None,Wisdom,316.51,6861,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3855.png,
3856,GNOGONS #3856,XGNOGONS-0a6d4c-0F10,65,94,91,94,93,94,Pure Red,Bananas,Plant,Destiny,Autumn,Toxic,Cave,Beauty,Seashell,Prism Frost,297.11,8112,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3856.png,
3857,GNOGONS #3857,XGNOGONS-0a6d4c-0F11,60,95,95,94,94,94,Twilight Zone,Tiffany,Ice,Rival,Emerald,Toxic,Atlantis,Volt,None,Shards of Darkness,294.77,8264,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3857.png,
3858,GNOGONS #3858,XGNOGONS-0a6d4c-0F12,96,96,95,91,96,95,Black Charcoal,Bone,Ether,Diamond Hands,Emerald,Dragonguard,Atlantis,Bones,Seashell,Scythe,331.31,5882,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3858.png,
3859,GNOGONS #3859,XGNOGONS-0a6d4c-0F13,97,96,95,94,97,94,Standard Issue,GNG,Ice,God of War,Charcoal,Tough,Stealthmode,Rainbow,None,Grim Reaper,334.43,5661,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3859.png,
3860,GNOGONS #3860,XGNOGONS-0a6d4c-0F14,90,95,92,95,94,94,Tiffany Sea,Beluga,Ice,Death,Offwhite,Toxic,Blizzard,Hades,None,Priest,330.32,5954,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3860.png,
3861,GNOGONS #3861,XGNOGONS-0a6d4c-0F15,95,91,90,94,96,96,Fast Furious,GNG,Spirit,Lockness,Sky,Oceanic,Blizzard,Volt,Seashell,Stealth Mode,365.29,3899,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3861.png,
3862,GNOGONS #3862,XGNOGONS-0a6d4c-0F16,85,97,89,94,94,96,Midnight Navy,Bone,Water,Rival,Sky,Toxic,Blizzard,Sacrifice,None,Warrior,276.41,9185,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3862.png,
3863,GNOGONS #3863,XGNOGONS-0a6d4c-0F17,94,94,94,92,94,98,Pure Red,Beluga,Fear,Guardian of Earth,Gold,Lagoon,Maiar Blue,Jira,Seashell,Inferno,321.74,6520,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3863.png,
3864,GNOGONS #3864,XGNOGONS-0a6d4c-0F18,98,92,99,94,94,91,Standard Issue,Bone,Plant,Seaside,Sky,Oceanic,Maiar Blue,Bones,Crusader,Moonlight Rider,383.49,3125,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3864.png,
3865,GNOGONS #3865,XGNOGONS-0a6d4c-0F19,85,93,98,94,94,91,Jet Black,Forrest,Thunder,Lunar Landing,Offwhite,Toxic,Platinum,Eco,None,Iridescent,322.3,6481,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3865.png,
3866,GNOGONS #3866,XGNOGONS-0a6d4c-0F1A,91,95,90,93,98,91,Twilight Zone,Tiffany,Moon,Fire Blast,Citrus,Dragonguard,Steel Scales,Silver,Seashell,Mystic,370.52,3648,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3866.png,
3867,GNOGONS #3867,XGNOGONS-0a6d4c-0F1B,95,90,90,95,89,97,Black Charcoal,GNG,Plant,Lunar Landing,Dragonfruit,Mountain,Mech Suit,Beauty,Impenetrable,Scythe,352.01,4580,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3867.png,
3868,GNOGONS #3868,XGNOGONS-0a6d4c-0F1C,85,95,93,94,94,93,Midnight Navy,GNG,Ether,Death,Cerulean,Dragonguard,Marine,Hazard,Special Task Force,Scythe,283.79,8852,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3868.png,
3869,GNOGONS #3869,XGNOGONS-0a6d4c-0F1D,80,98,95,91,92,90,Gnogen Burst,Deep Sea,Alloys,Rival,Gold,Toxic,Stealthmode,Mist,None,Prism Frost,359.6,4204,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3869.png,
3870,GNOGONS #3870,XGNOGONS-0a6d4c-0F1E,98,89,97,89,94,98,Standard Issue,Taupe,Decay,Guardian of Earth,Citrus,Dragonguard,Desert Storm,Sacrifice,None,Joker,673,641,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3870.png,
3871,GNOGONS #3871,XGNOGONS-0a6d4c-0F1F,95,94,89,98,94,96,Black Charcoal,Forrest,Ice,Rival,Charcoal,Mountain,Marine,Hades,Centurion,Wisdom,405.2,2378,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3871.png,
3872,GNOGONS #3872,XGNOGONS-0a6d4c-0F20,97,91,97,93,97,94,Fast Furious,Beluga,Ether,Kobe,Charcoal,Oceanic,Cave,Moss,Centurion,Joker,601.97,674,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3872.png,
3873,GNOGONS #3873,XGNOGONS-0a6d4c-0F21,70,97,94,95,93,91,Jet Black,GNG,Ice,Rival,Cerulean,Mountain,Blizzard,Jira,None,Victory Crown,283.69,8860,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3873.png,
3874,GNOGONS #3874,XGNOGONS-0a6d4c-0F22,91,94,98,90,93,97,Standard Issue,Aura,Spirit,Gnogons,Charcoal,Oceanic,Maiar Blue,Plasma,None,Scythe,332.88,5773,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3874.png,
3875,GNOGONS #3875,XGNOGONS-0a6d4c-0F23,92,92,97,92,94,89,Fast Furious,Blush,Fear,God of War,Gold,Toxic,Cave,Razor,Metal,Omega,432.02,1725,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3875.png,
3876,GNOGONS #3876,XGNOGONS-0a6d4c-0F24,80,93,94,97,94,96,Fast Furious,Bone,Alloys,Cotton Candy,Sky,Toxic,Marine,Scarab,Seashell,Omega,392.11,2819,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3876.png,
3877,GNOGONS #3877,XGNOGONS-0a6d4c-0F25,98,93,92,91,96,91,Hot Pink,Bone,Plant,Seaside,Dragonfruit,Mountain,Blizzard,Hades,None,Priest,380.96,3224,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3877.png,
3878,GNOGONS #3878,XGNOGONS-0a6d4c-0F26,95,94,94,95,99,98,Hot Pink,Deep Sea,Fire,Lockness,Citrus,Toxic,Desert Storm,Bones,None,Iridescent,352.27,4566,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3878.png,
3879,GNOGONS #3879,XGNOGONS-0a6d4c-0F27,93,92,98,90,93,92,Undriven Snow,Taupe,Alloys,Cotton Candy,Emerald,Dragonguard,Maiar Blue,Jet Blue,None,Inferno,352.73,4543,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3879.png,
3880,GNOGONS #3880,XGNOGONS-0a6d4c-0F28,90,94,97,97,95,94,Hot Pink,Plum,Plant,Death,Emerald,Diamond,Blizzard,Moss,None,Alien,342.01,5180,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3880.png,
3881,GNOGONS #3881,XGNOGONS-0a6d4c-0F29,96,89,90,89,92,89,Hot Pink,Forrest,Fire,Rival,Offwhite,Tough,Atlantis,Fine Wine,Rise,Healer,349.91,4690,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3881.png,
3882,GNOGONS #3882,XGNOGONS-0a6d4c-0F2A,95,93,96,94,99,94,Standard Issue,Aura,Sun,Bubble Gum,Dragonfruit,Diamond,Steel Scales,Frost,Impenetrable,Healer,395.18,2712,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3882.png,
3883,GNOGONS #3883,XGNOGONS-0a6d4c-0F2B,95,98,94,94,95,94,Midnight Navy,Bananas,Ice,Lunar Landing,Gold,Tough,Marine,Silver,Rise,Elder,381.87,3187,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3883.png,
3884,GNOGONS #3884,XGNOGONS-0a6d4c-0F2C,80,92,93,96,95,98,Twilight Zone,Bananas,Fire,Lunar Landing,Emerald,Diamond,Cave,Mist,Royal Armor,Scythe,353.25,4514,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3884.png,
3885,GNOGONS #3885,XGNOGONS-0a6d4c-0F2D,75,95,94,94,94,90,Standard Issue,Cyber,Alloys,Seaside,Offwhite,Tough,Blizzard,Mist,Rise,Victory Crown,290.94,8470,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3885.png,
3886,GNOGONS #3886,XGNOGONS-0a6d4c-0F2E,91,96,91,93,92,95,Undriven Snow,Deep Sea,Spirit,Gnogons,Offwhite,Mountain,Atlantis,Hazard,None,Prism Frost,311.43,7215,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3886.png,
3887,GNOGONS #3887,XGNOGONS-0a6d4c-0F2F,94,96,96,96,96,94,Black Charcoal,Aura,Alloys,Kobe,Dragonfruit,Mountain,Stealthmode,Plasma,None,Elder,331.11,5892,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3887.png,
3888,GNOGONS #3888,XGNOGONS-0a6d4c-0F30,96,94,89,98,94,91,Twilight Zone,Matte,Thunder,Lockness,Cerulean,Diamond,Desert Storm,Blades,None,Joker,593.95,688,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3888.png,
3889,GNOGONS #3889,XGNOGONS-0a6d4c-0F31,60,90,89,94,93,99,Standard Issue,Blush,Sun,Guardian of Earth,Violet,Tough,Cave,Scarab,None,Moonlight Rider,297.01,8119,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3889.png,
3890,GNOGONS #3890,XGNOGONS-0a6d4c-0F32,90,95,98,94,94,96,Jet Black,Bone,Ice,Guardian of Earth,Cerulean,Mountain,Desert Storm,Razor,MEX,God of Thunder,351.99,4581,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3890.png,
3891,GNOGONS #3891,XGNOGONS-0a6d4c-0F33,85,93,96,98,94,94,Hot Pink,Forrest,Sun,God of War,Dragonfruit,Lagoon,Atlantis,Photosynthesis,None,Mountaineer,360.84,4129,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3891.png,
3892,GNOGONS #3892,XGNOGONS-0a6d4c-0F34,97,92,94,93,97,92,Twilight Zone,GNG,Sun,Gnogons,Gold,Toxic,Atlantis,Silver,Centurion,Alien,359.34,4214,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3892.png,
3893,GNOGONS #3893,XGNOGONS-0a6d4c-0F35,92,95,97,91,94,94,Undriven Snow,Matte,Alloys,God of War,Cerulean,Toxic,Atlantis,Frost,None,Super,279.43,9057,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3893.png,
3894,GNOGONS #3894,XGNOGONS-0a6d4c-0F36,90,92,94,92,89,91,Twilight Zone,Aura,Moon,God of War,Charcoal,Dragonguard,Desert Storm,Volt,MEX,Scythe,288.76,8581,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3894.png,
3895,GNOGONS #3895,XGNOGONS-0a6d4c-0F37,93,97,90,98,98,97,Hot Pink,Blush,Gnogen,Lockness,Dragonfruit,Oceanic,Desert Storm,Mist,Impenetrable,Inferno,408.88,2264,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3895.png,
3896,GNOGONS #3896,XGNOGONS-0a6d4c-0F38,85,92,93,92,91,90,Hot Pink,Cyber,Fire,Kobe,Gold,Dragonguard,Plated,Ifrit,Special Task Force,Super,278.62,9095,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3896.png,
3897,GNOGONS #3897,XGNOGONS-0a6d4c-0F39,93,97,93,94,91,93,Undriven Snow,Cyber,Time,Lockness,Sky,Oceanic,Gold Plated,Jira,None,Inferno,312.63,7126,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3897.png,
