EDITION,NAME,TOKEN,ATTRIBUTE:MODEL,ATTRIBUTE:RANK,ATTRIBUTE:POWER,ATTRIBUTE:ATTACK,ATTRIBUTE:DEFENSE,ATTRIBUTE:SPEED,ATTRIBUTE:ACCURACY,ATTRIBUTE:RAM,ATTRIBUTE:BACKGROUND,ATTRIBUTE:WEAPON,ATTRIBUTE:BODY,ATTRIBUTE:EXPRESSION,ATTRIBUTE:ARMOR,ATTRIBUTE:MASK,ATTRIBUTE:EYEWEAR,ATTRIBUTE:HEAD,ATTRIBUTE:NECKLACE,ATTRIBUTE:SCORE,RANKING,MEDIA:ORIGINAL,MEDIA:THUMBNAIL
5732,ValidatorV2 #5732,XVTWO-fcc831-1664,Alpha,NONE,59,98,99,92,88,88,Taupe,Drone,Gnogen Orange,LOL,City Frequency,NONE,NONE,Crown,NONE,577.5210197,9073,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5732.png,
5733,ValidatorV2 #5733,XVTWO-fcc831-1665,Alpha,NONE,68,94,98,96,87,89,Cream,Dual Blade,Gnogen Orange,Relieved,Soldier,NONE,Heart Eyes,Headband,NONE,596.4690949,6944,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5733.png,
5734,ValidatorV2 #5734,XVTWO-fcc831-1666,Alpha,NONE,92,86,94,89,87,88,Taupe,Laser Gun,Gnogen Alternate,Normal,Casual,NONE,NONE,Apocalypse,NONE,597.0295081,6851,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5734.png,
5735,ValidatorV2 #5735,XVTWO-fcc831-1667,Alpha,1,85,100,92,91,100,100,Crimson,Katana,Gnogen Alternate,Angry,Crossbody,NONE,Scientist,Cap,NONE,628.3040443,2053,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5735.png,
5736,ValidatorV2 #5736,XVTWO-fcc831-1668,Alpha,NONE,89,86,99,89,91,91,Gray,Great Sword,Gnogen Orange,Bored,Cyber Criminal,NONE,NONE,Samurai,NONE,604.2378356,5791,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5736.png,
5737,ValidatorV2 #5737,XVTWO-fcc831-1669,Alpha,NONE,90,90,89,93,95,86,Cream,Drone,Gnogen Alternate,Tears,Dressed To Kill,NONE,NONE,Samurai,Timepiece,610.4903009,4805,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5737.png,
5738,ValidatorV2 #5738,XVTWO-fcc831-166A,Alpha,NONE,83,89,88,85,99,97,Gray,Great Sword,Gnogen Orange,Serious,Lowkey,NONE,NONE,NONE,NONE,592.8044661,7456,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5738.png,
5739,ValidatorV2 #5739,XVTWO-fcc831-166B,Alpha,NONE,86,93,100,85,99,88,Gray,NONE,Gnogen Alternate,LOL,Crossbody,NONE,NONE,Beanie,NONE,612.0379069,4557,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5739.png,
5740,ValidatorV2 #5740,XVTWO-fcc831-166C,Alpha,1,93,92,90,88,98,91,Crimson,Dual Blade,Gnogen Orange,Disappointed,Observer Squad,NONE,NONE,Hockey,Cuban,616.8427655,3782,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5740.png,
5741,ValidatorV2 #5741,XVTWO-fcc831-166D,Alpha,NONE,100,86,91,95,94,97,Taupe,Dual Blade,Gnogen Alternate,Angry,Alpha,NONE,NONE,Halo,NONE,630.8890007,1721,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5741.png,
5742,ValidatorV2 #5742,XVTWO-fcc831-166E,Alpha,NONE,84,96,94,91,98,99,Cream,Laser Gun,Gnogen Orange,Angry,Dojo,Soundproof,NONE,Beanie,NONE,623.5331785,2717,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5742.png,
5743,ValidatorV2 #5743,XVTWO-fcc831-166F,Alpha,NONE,82,88,88,92,100,94,Orange,Axe,Gnogen Orange,Tears,Soldier,NONE,NONE,Cap,NONE,602.3699015,6074,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5743.png,
5744,ValidatorV2 #5744,XVTWO-fcc831-1670,Alpha,NONE,80,85,94,100,89,94,Taupe,Sword,Gnogen Alternate,Normal,Soldier,NONE,NONE,NONE,NONE,591.5319742,7626,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5744.png,
5745,ValidatorV2 #5745,XVTWO-fcc831-1671,Alpha,NONE,94,88,99,92,96,89,Orange,Great Sword,Gnogen Alternate,Dead,General,NONE,NONE,NONE,NONE,618.0179588,3570,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5745.png,
5746,ValidatorV2 #5746,XVTWO-fcc831-1672,Alpha,NONE,88,85,91,98,100,98,Orange,AK47,Gnogen Orange,Relieved,Alpha,NONE,NONE,Hockey,NONE,625.3381953,2448,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5746.png,
5747,ValidatorV2 #5747,XVTWO-fcc831-1673,Alpha,NONE,83,100,92,99,87,92,Orange,Standard Issue,Gnogen Orange,Serious,Roman,NONE,NONE,Hockey,NONE,607.3595737,5289,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5747.png,
5748,ValidatorV2 #5748,XVTWO-fcc831-1674,Alpha,NONE,71,96,90,93,86,87,Orange,Sniper Rifle,Gnogen Alternate,Bored,Dressed To Kill,Doctor,Monocle,NONE,NONE,589.004364,7939,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5748.png,
5749,ValidatorV2 #5749,XVTWO-fcc831-1675,Alpha,NONE,74,87,94,87,93,85,Gray,NONE,Gnogen Alternate,Curious,Suit Ready,NONE,NONE,Beanie,NONE,576.3135166,9162,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5749.png,
5750,ValidatorV2 #5750,XVTWO-fcc831-1676,Alpha,2,95,90,97,92,89,89,Crimson,Pistol,Gnogen Orange,Normal,General,NONE,NONE,Hockey,NONE,618.7489739,3458,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5750.png,
5751,ValidatorV2 #5751,XVTWO-fcc831-1677,Alpha,NONE,62,97,92,88,93,92,Crimson,Sniper Rifle,Gnogen Alternate,Normal,Bomber Jacket,Halloween,NONE,Samurai,Timepiece,579.567503,8915,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5751.png,
5752,ValidatorV2 #5752,XVTWO-fcc831-1678,Alpha,NONE,94,86,87,89,91,90,Taupe,Bow & Arrow,Gnogen Orange,Disappointed,Bomber Jacket,NONE,NONE,Headband,NONE,598.4410824,6637,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5752.png,
5753,ValidatorV2 #5753,XVTWO-fcc831-1679,Alpha,NONE,98,85,96,98,99,96,Taupe,Hacker,Gnogen Alternate,Relieved,Alpha,NONE,NONE,NONE,NONE,640.507207,870,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5753.png,
5754,ValidatorV2 #5754,XVTWO-fcc831-167A,Alpha,NONE,93,93,87,87,87,87,Orange,Katana,Gnogen Alternate,Angry,Vagabond,NONE,NONE,NONE,NONE,604.8384129,5700,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5754.png,
5755,ValidatorV2 #5755,XVTWO-fcc831-167B,Alpha,NONE,59,89,88,92,99,85,Gray,Dual Blade,Gnogen Orange,Normal,Boost Hoodie,Goalie,NONE,Beanie,NONE,559.1130586,9897,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5755.png,
5756,ValidatorV2 #5756,XVTWO-fcc831-167C,Alpha,NONE,90,87,87,86,85,92,Cream,Laser Gun,Gnogen Orange,Angry,Vagabond,NONE,Radar,NONE,NONE,609.9410062,4886,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5756.png,
5757,ValidatorV2 #5757,XVTWO-fcc831-167D,Alpha,NONE,95,85,86,97,97,92,Orange,Katana,Gnogen Alternate,Dead,Observer Squad,NONE,NONE,Sailor,Timepiece,614.4206596,4169,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5757.png,
5758,ValidatorV2 #5758,XVTWO-fcc831-167E,Alpha,NONE,81,94,87,85,87,87,Crimson,Standard Issue,Gnogen Orange,Angry,Tech Hoodie,NONE,NONE,Racer,NONE,574.8515987,9290,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5758.png,
5759,ValidatorV2 #5759,XVTWO-fcc831-167F,Alpha,NONE,92,97,87,91,90,85,Cream,Hoverboard,Gnogen Orange,Dead,Casual,NONE,NONE,Halo,NONE,602.5409843,6048,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5759.png,
5760,ValidatorV2 #5760,XVTWO-fcc831-1680,Alpha,NONE,87,89,96,95,88,94,Cream,Sword,Gnogen Orange,Angry,Casual,NONE,Nightvision,NONE,NONE,611.185748,4696,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5760.png,
5761,ValidatorV2 #5761,XVTWO-fcc831-1681,Alpha,NONE,81,99,91,96,92,92,Cream,Bow & Arrow,Gnogen Alternate,Dead,Zero Dark,NONE,NONE,Headband,NONE,609.1887708,4990,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5761.png,
5762,ValidatorV2 #5762,XVTWO-fcc831-1682,Alpha,NONE,84,85,99,90,86,98,Taupe,Katana,Gnogen Alternate,Angry,Crossbody,NONE,NONE,Beanie,NONE,593.9898141,7307,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5762.png,
5763,ValidatorV2 #5763,XVTWO-fcc831-1683,Alpha,NONE,93,88,88,93,89,95,Crimson,Rocket Launcher,Gnogen Alternate,Tears,Zero Dark,NONE,NONE,Horns,NONE,616.4138856,3853,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5763.png,
5764,ValidatorV2 #5764,XVTWO-fcc831-1684,Alpha,NONE,76,90,85,98,98,98,Cream,Hoverboard,Gnogen Orange,Normal,Observer Squad,NONE,NONE,NONE,NONE,593.4141434,7384,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5764.png,
5765,ValidatorV2 #5765,XVTWO-fcc831-1685,Alpha,2,87,100,92,99,89,97,Orange,Photon Cannon,Gnogen Alternate,Dead,Soldier,NONE,Night Out,NONE,NONE,631.0476111,1703,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5765.png,
5766,ValidatorV2 #5766,XVTWO-fcc831-1686,Alpha,NONE,64,86,96,97,85,86,Gray,Rocket Launcher,Gnogen Alternate,Bored,Dressed To Kill,NONE,NONE,Cap,NONE,560.24545,9880,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5766.png,
5767,ValidatorV2 #5767,XVTWO-fcc831-1687,Alpha,NONE,63,90,88,90,95,96,Gray,Sniper Rifle,Gnogen Alternate,Serious,Roman,NONE,Poet Glasses,Apocalypse,Cold Storage,579.3395374,8937,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5767.png,
5768,ValidatorV2 #5768,XVTWO-fcc831-1688,Alpha,NONE,95,90,90,87,97,89,Gray,Sword,Gnogen Orange,Disappointed,Cyber Criminal,NONE,NONE,NONE,Timepiece,612.246426,4528,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5768.png,
5769,ValidatorV2 #5769,XVTWO-fcc831-1689,Alpha,NONE,95,91,91,100,100,92,Crimson,Bow & Arrow,Gnogen Alternate,Normal,Bomber Jacket,Goalie,NONE,NONE,NONE,634.015458,1404,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5769.png,
5770,ValidatorV2 #5770,XVTWO-fcc831-168A,Alpha,NONE,72,91,93,96,87,89,Gray,Hacker,Gnogen Orange,Angry,Bomber Jacket,NONE,NONE,Headband,Timepiece,581.2421234,8785,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5770.png,
5771,ValidatorV2 #5771,XVTWO-fcc831-168B,Alpha,NONE,65,91,99,98,95,85,Taupe,Drone,Gnogen Orange,Normal,Dojo,NONE,NONE,Gladiator,NONE,584.3663579,8471,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5771.png,
5772,ValidatorV2 #5772,XVTWO-fcc831-168C,Alpha,NONE,82,90,89,93,94,95,Cream,Katana,Gnogen Alternate,Angry,Vagabond,Barbarian,NONE,NONE,NONE,614.716525,4128,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5772.png,
5773,ValidatorV2 #5773,XVTWO-fcc831-168D,Alpha,NONE,86,92,86,91,97,85,Cream,Standard Issue,Gnogen Alternate,LOL,Lowkey,NONE,Radar,Cap,Cold Storage,615.7027571,3968,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5773.png,
5774,ValidatorV2 #5774,XVTWO-fcc831-168E,Alpha,NONE,90,100,85,98,87,98,Crimson,Katana,Gnogen Alternate,Dead,Exiled,Barbarian,NONE,NONE,Cuban,623.2312446,2765,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5774.png,
5775,ValidatorV2 #5775,XVTWO-fcc831-168F,Alpha,NONE,70,89,91,91,91,99,Taupe,Rocket Launcher,Gnogen Alternate,Dead,Tech Hoodie,NONE,NONE,Sailor,NONE,581.1516888,8792,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5775.png,
5776,ValidatorV2 #5776,XVTWO-fcc831-1690,Alpha,NONE,73,100,86,85,87,96,Crimson,Sniper Rifle,Gnogen Alternate,Bored,Casual,NONE,NONE,Cap,NONE,577.2468506,9099,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5776.png,
5777,ValidatorV2 #5777,XVTWO-fcc831-1691,Alpha,1,97,91,97,90,93,90,Taupe,Standard Issue,Gnogen Alternate,Tears,Alpha,NONE,NONE,NONE,NONE,627.6314338,2134,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5777.png,
5778,ValidatorV2 #5778,XVTWO-fcc831-1692,Alpha,NONE,93,86,86,96,99,89,Crimson,Rocket Launcher,Gnogen Alternate,Normal,Platinum,NONE,Monocle,Halo,NONE,618.3527836,3524,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5778.png,
5779,ValidatorV2 #5779,XVTWO-fcc831-1693,Alpha,NONE,83,93,99,100,93,97,Cream,Standard Issue,Gnogen Orange,Dead,Dressed To Kill,NONE,NONE,NONE,NONE,617.4403454,3666,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5779.png,
5780,ValidatorV2 #5780,XVTWO-fcc831-1694,Alpha,NONE,70,86,97,88,88,92,Orange,Rocket Launcher,Gnogen Orange,Angry,War Armor,Halloween,Monocle,Cap,NONE,592.5671063,7490,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5780.png,
5781,ValidatorV2 #5781,XVTWO-fcc831-1695,Alpha,NONE,85,97,96,97,100,85,Crimson,Dual Blade,Gnogen Orange,Angry,Explorer,NONE,NONE,Beanie,NONE,614.6117812,4147,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5781.png,
5782,ValidatorV2 #5782,XVTWO-fcc831-1696,Alpha,NONE,74,94,92,100,86,89,Gray,Great Sword,Gnogen Orange,Bored,Leather Jacket,NONE,Heart Eyes,NONE,NONE,601.0829476,6268,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5782.png,
5783,ValidatorV2 #5783,XVTWO-fcc831-1697,Alpha,NONE,82,86,92,97,95,91,Orange,Scythe,Gnogen Orange,Angry,Dojo,NONE,NONE,Beanie,NONE,597.5372138,6770,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5783.png,
5784,ValidatorV2 #5784,XVTWO-fcc831-1698,Alpha,NONE,66,100,95,86,100,92,Crimson,Dual Blade,Gnogen Orange,Angry,Casual,NONE,Nightvision,NONE,NONE,589.6259793,7859,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5784.png,
5785,ValidatorV2 #5785,XVTWO-fcc831-1699,Alpha,NONE,88,85,92,88,96,93,Crimson,Katana,Gnogen Alternate,Angry,Suit Ready,NONE,Poet Glasses,Beanie,NONE,604.5497025,5744,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5785.png,
5786,ValidatorV2 #5786,XVTWO-fcc831-169A,Alpha,NONE,85,85,98,96,86,98,Crimson,Great Sword,Gnogen Orange,Normal,Boost Hoodie,Goalie,NONE,Beanie,NONE,608.1646015,5158,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5786.png,
5787,ValidatorV2 #5787,XVTWO-fcc831-169B,Alpha,NONE,91,88,96,86,87,98,Orange,Hacker,Gnogen Orange,Normal,Explorer,Ghost,NONE,NONE,NONE,611.152655,4701,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5787.png,
5788,ValidatorV2 #5788,XVTWO-fcc831-169C,Alpha,NONE,61,100,99,95,87,98,Crimson,Standard Issue,Gnogen Orange,Dead,V2 Hoodie,NONE,NONE,NONE,Multi Chain,585.1031864,8403,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5788.png,
5789,ValidatorV2 #5789,XVTWO-fcc831-169D,Alpha,NONE,84,85,92,90,89,86,Gray,AK47,Gnogen Orange,Bored,General,NONE,Nightvision,NONE,NONE,589.2416785,7907,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5789.png,
5790,ValidatorV2 #5790,XVTWO-fcc831-169E,Alpha,NONE,62,85,91,90,100,94,Crimson,Sniper Rifle,Gnogen Alternate,Dead,Observer Squad,NONE,Monocle,NONE,NONE,572.1015962,9465,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5790.png,
5791,ValidatorV2 #5791,XVTWO-fcc831-169F,Alpha,NONE,86,98,90,86,91,86,Cream,Standard Issue,Gnogen Alternate,Smirk,Observer Squad,NONE,NONE,Headband,NONE,591.8259436,7595,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5791.png,
5792,ValidatorV2 #5792,XVTWO-fcc831-16A0,Alpha,NONE,99,88,94,87,89,95,Crimson,Sword,Gnogen Alternate,Dead,Royal,NONE,NONE,Samurai,NONE,617.4768399,3659,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5792.png,
5793,ValidatorV2 #5793,XVTWO-fcc831-16A1,Alpha,NONE,95,85,98,100,94,89,Crimson,Axe,Gnogen Orange,Normal,Dojo,NONE,NONE,Racer,NONE,620.4084541,3182,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5793.png,
5794,ValidatorV2 #5794,XVTWO-fcc831-16A2,Alpha,NONE,68,85,85,95,91,97,Cream,Rocket Launcher,Gnogen Orange,Serious,Lowkey,NONE,Aviators,Sailor,NONE,577.0433867,9111,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5794.png,
5795,ValidatorV2 #5795,XVTWO-fcc831-16A3,Alpha,NONE,71,94,93,92,94,93,Taupe,Standard Issue,Gnogen Alternate,WTF,Boost Hoodie,Doctor,NONE,Beanie,Cold Storage,602.7303945,6016,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5795.png,
5796,ValidatorV2 #5796,XVTWO-fcc831-16A4,Alpha,NONE,84,89,85,90,89,93,Gray,Laser Gun,Gnogen Alternate,Angry,Crossbody,Ghost,NONE,Headband,NONE,588.6055295,7990,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5796.png,
5797,ValidatorV2 #5797,XVTWO-fcc831-16A5,Alpha,NONE,87,94,95,86,89,93,Crimson,Dual Blade,Gnogen Alternate,Disappointed,Rawr,NONE,NONE,NONE,NONE,615.5279349,3993,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5797.png,
5798,ValidatorV2 #5798,XVTWO-fcc831-16A6,Alpha,NONE,63,87,94,98,93,85,Taupe,Robo Arms,Gnogen Orange,Dead,Dojo,NONE,NONE,Crown,NONE,566.6843195,9723,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5798.png,
5799,ValidatorV2 #5799,XVTWO-fcc831-16A7,Alpha,NONE,91,100,86,92,91,100,Cream,Katana,Gnogen Orange,Angry,Roman,NONE,NONE,Hockey,NONE,618.3472476,3525,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5799.png,
5800,ValidatorV2 #5800,XVTWO-fcc831-16A8,Alpha,NONE,79,95,96,89,93,85,Gray,Dual Blade,Gnogen Orange,Disappointed,Crossbody,NONE,NONE,Headband,Multi Chain,595.0341109,7158,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5800.png,
5801,ValidatorV2 #5801,XVTWO-fcc831-16A9,Alpha,NONE,62,91,90,90,90,86,Cream,Standard Issue,Gnogen Alternate,Dead,Royal,NONE,NONE,Headband,NONE,555.6456575,9937,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5801.png,
5802,ValidatorV2 #5802,XVTWO-fcc831-16AA,Alpha,NONE,75,100,98,88,94,94,Cream,Stick,Gnogen Alternate,Curious,Dressed To Kill,Soundproof,NONE,Sailor,NONE,613.3017782,4347,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5802.png,
5803,ValidatorV2 #5803,XVTWO-fcc831-16AB,Alpha,NONE,93,95,90,97,98,87,Taupe,Pistol,Gnogen Alternate,Normal,V Day,NONE,NONE,Headband,NONE,624.5112312,2570,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5803.png,
5804,ValidatorV2 #5804,XVTWO-fcc831-16AC,Alpha,NONE,82,99,93,90,85,89,Taupe,Photon Cannon,Gnogen Orange,Serious,Leather Jacket,NONE,NONE,Sailor,NONE,597.2836185,6802,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5804.png,
5805,ValidatorV2 #5805,XVTWO-fcc831-16AD,Alpha,NONE,91,100,87,89,88,95,Crimson,Standard Issue,Gnogen Orange,Curious,Bomber Jacket,NONE,NONE,NONE,Cuban,613.3064621,4346,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5805.png,
5806,ValidatorV2 #5806,XVTWO-fcc831-16AE,Alpha,NONE,81,89,87,85,87,90,Gray,Dual Blade,Gnogen Alternate,Angry,Cyber Criminal,NONE,NONE,Cap,NONE,571.5765831,9495,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5806.png,
5807,ValidatorV2 #5807,XVTWO-fcc831-16AF,Alpha,NONE,61,92,85,98,85,86,Cream,Robo Arms,Gnogen Orange,Dead,Exiled,NONE,NONE,NONE,Timepiece,554.2836967,9945,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5807.png,
5808,ValidatorV2 #5808,XVTWO-fcc831-16B0,Alpha,NONE,91,98,97,89,86,92,Cream,Bow & Arrow,Gnogen Orange,WTF,Meta,NONE,NONE,NONE,NONE,618.4285658,3512,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5808.png,
5809,ValidatorV2 #5809,XVTWO-fcc831-16B1,Alpha,1,93,95,89,96,97,94,Orange,Katana,Gnogen Alternate,Angry,Dojo,NONE,NONE,Sailor,NONE,624.1693787,2618,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5809.png,
